MONTH,diff
195201,
195301,3.37
195401,-6.17
195501,-0.33
195601,-0.31
195701,-3.08
195801,-5.15
195901,6.56
196001,1.55
196101,5.54
196201,1.43
196301,-4.54
196401,
196501,
196601,
196701,
196801,
196901,
197001,
197101,
197201,
197301,-0.50
197401,1.17
197501,11.52
197601,-1.89
197701,6.15
197801,-2.57
197901,-8.42
198001,-2.40
198101,-1.19
198201,-11.18
198301,-1.11
198401,1.10
198501,-15.62
198601,-8.52
198701,-12.97
198801,0.50
198901,7.65
199001,-1.36
199101,-5.68
199201,2.70
199301,8.82
199401,-2.60
199501,-4.51
199601,-4.65
199701,-0.69
199801,-2.61
199901,-2.90
200001,2.26
200101,1.87
200201,-0.43
200301,-9.15
200401,-2.37
200501,3.56
200601,2.80
200701,-0.64
200801,1.01
200901,
201001,-4.49
201101,-3.13
201201,-2.67
201301,1.92
201401,-0.62
201501,1.83
201601,3.80
201701,-2.51
195202,4.11
195302,0.43
195402,0.29
195502,0.16
195602,-10.31
195702,-0.44
195802,-3.75
195902,5.05
196002,-3.08
196102,7.61
196202,1.57
196302,-9.71
196402,
196502,
196602,
196702,
196802,
196902,
197002,
197102,
197202,
197302,-5.41
197402,1.49
197502,1.80
197602,-7.01
197702,-3.23
197802,-7.17
197902,2.30
198002,-2.74
198102,-3.76
198202,0.60
198302,-6.24
198402,-6.82
198502,-11.15
198602,-9.85
198702,-0.62
198802,6.52
198902,2.45
199002,5.16
199102,2.04
199202,8.84
199302,4.60
199402,-11.54
199502,-4.25
199602,-11.26
199702,-4.87
199802,-2.00
199902,-0.90
200002,
200102,-4.81
200202,3.42
200302,8.78
200402,6.83
200502,0.97
200602,0.35
200702,3.81
200802,1.24
200902,0.64
201002,-1.09
201102,-8.87
201202,4.09
201302,0.77
201402,6.90
201502,6.87
201602,4.32
201702,0.82
195203,-5.24
195303,8.43
195403,-1.08
195503,-4.19
195603,-0.14
195703,-6.93
195803,-10.22
195903,4.12
196003,-3.16
196103,-3.42
196203,-6.76
196303,-5.10
196403,
196503,
196603,
196703,
196803,
196903,
197003,
197103,
197203,
197303,6.43
197403,0.82
197503,-2.76
197603,-4.84
197703,2.58
197803,3.10
197903,-5.81
198003,-3.32
198103,-4.31
198203,5.05
198303,-1.92
198403,-3.93
198503,6.26
198603,-3.01
198703,-9.47
198803,-5.21
198903,2.54
199003,7.66
199103,
199203,1.97
199303,5.70
199403,-1.60
199503,2.24
199603,0.95
199703,2.67
199803,1.20
199903,1.21
200003,3.44
200103,1.08
200203,6.92
200303,5.67
200403,1.43
200503,-3.45
200603,-2.83
200703,7.93
200803,5.01
200903,-0.42
201003,2.91
201103,0.79
201203,-0.51
201303,-5.01
201403,7.82
201503,6.13
201603,4.65
201703,6.58
195204,-2.60
195304,-1.07
195404,-2.91
195504,-1.78
195604,-2.64
195704,-5.15
195804,-2.34
195904,1.80
196004,2.85
196104,2.29
196204,-0.87
196304,-1.95
196404,
196504,
196604,
196704,
196804,
196904,
197004,
197104,
197204,
197304,-3.93
197404,-5.15
197504,1.00
197604,-1.80
197704,-2.68
197804,-3.70
197904,-5.08
198004,2.95
198104,-2.99
198204,-1.54
198304,-1.16
198404,2.95
198504,-0.95
198604,-8.03
198704,-1.20
198804,2.27
198904,3.65
199004,3.88
199104,4.53
199204,2.06
199304,2.15
199404,4.60
199504,2.17
199604,-0.71
199704,1.11
199804,0.60
199904,2.21
200004,5.01
200104,3.13
200204,3.53
200304,-1.61
200404,-1.46
200504,3.89
200604,0.47
200704,3.06
200804,3.64
200904,-0.50
201004,2.27
201104,4.92
201204,-0.88
201304,-0.49
201404,3.99
201504,3.96
201604,5.94
201704,1.02
