MONTH,temp_celsius,month,ref_temp,diff
195201,-1.4,1,-5.8,4.4
195301,-5.4,1,-5.8,0.4
195401,-7.1,1,-5.8,-1.2
195501,-5.5,1,-5.8,0.4
195601,-8.1,1,-5.8,-2.3
195701,-2.4,1,-5.8,3.4
195801,-8.3,1,-5.8,-2.5
195901,-5.1,1,-5.8,0.7
196001,-10.2,1,-5.8,-4.4
196101,-3.6,1,-5.8,2.2
196201,-3.7,1,-5.8,2.2
196301,-9.9,1,-5.8,-4.1
196401,,1,-5.8,
196501,,1,-5.8,
196601,,1,-5.8,
196701,,1,-5.8,
196801,,1,-5.8,
196901,,1,-5.8,
197001,,1,-5.8,
197101,,1,-5.8,
197201,,1,-5.8,
197301,-2.0,1,-5.8,3.9
197401,-2.9,1,-5.8,2.9
197501,-1.4,1,-5.8,4.5
197601,-9.9,1,-5.8,-4.1
197701,-6.5,1,-5.8,-0.6
197801,-5.8,1,-5.8,0.0
197901,-8.7,1,-5.8,-2.8
198001,-8.8,1,-5.8,-3.0
198101,-4.1,1,-5.8,1.7
198201,-10.4,1,-5.8,-4.5
198301,-1.6,1,-5.8,4.3
198401,-4.4,1,-5.8,1.4
198501,-15.5,1,-5.8,-9.7
198601,-7.9,1,-5.8,-2.1
198701,-18.0,1,-5.8,-12.1
198801,-2.6,1,-5.8,3.3
198901,-0.3,1,-5.8,5.6
199001,-3.9,1,-5.8,2.0
199101,-3.0,1,-5.8,2.8
199201,-1.6,1,-5.8,4.3
199301,-1.8,1,-5.8,4.1
199401,-4.0,1,-5.8,1.9
199501,-3.2,1,-5.8,2.7
199601,-6.1,1,-5.8,-0.3
199701,-4.1,1,-5.8,1.7
199801,-1.7,1,-5.8,4.1
199901,-5.5,1,-5.8,0.4
200001,-2.7,1,-5.8,3.1
200101,-2.1,1,-5.8,3.7
200201,-3.5,1,-5.8,2.3
200301,-9.8,1,-5.8,-4.0
200401,-7.2,1,-5.8,-1.4
200501,-1.0,1,-5.8,4.9
200601,-4.7,1,-5.8,1.1
