MONTH,temp_celsius,month,ref_temp,diff
195901,,1,-16.2,
196001,-19.1,1,-16.2,-3.0
196101,-11.2,1,-16.2,5.0
196201,-15.4,1,-16.2,0.7
196301,-18.1,1,-16.2,-2.0
196401,-9.7,1,-16.2,6.5
196501,-13.5,1,-16.2,2.6
196601,-22.0,1,-16.2,-5.9
196701,-22.1,1,-16.2,-6.0
196801,-19.5,1,-16.2,-3.3
196901,-15.4,1,-16.2,0.8
197001,-15.7,1,-16.2,0.4
197101,-14.4,1,-16.2,1.7
197201,-11.0,1,-16.2,5.2
197601,-19.0,1,-16.2,-2.9
197701,-14.1,1,-16.2,2.1
197801,-15.6,1,-16.2,0.6
197901,-17.6,1,-16.2,-1.5
198001,-17.3,1,-16.2,-1.2
198101,-13.3,1,-16.2,2.8
198201,-20.8,1,-16.2,-4.6
198301,-11.8,1,-16.2,4.4
198401,-14.4,1,-16.2,1.7
198501,-23.2,1,-16.2,-7.0
198601,-18.4,1,-16.2,-2.2
198701,-22.9,1,-16.2,-6.7
198801,-13.6,1,-16.2,2.6
198901,-10.5,1,-16.2,5.6
199001,-16.8,1,-16.2,-0.6
199101,-13.3,1,-16.2,2.9
199201,-9.5,1,-16.2,6.7
199301,-10.7,1,-16.2,5.4
199401,-15.9,1,-16.2,0.3
199501,-10.2,1,-16.2,5.9
199601,-9.7,1,-16.2,6.4
199701,-15.3,1,-16.2,0.9
199801,-13.4,1,-16.2,2.8
199901,-18.2,1,-16.2,-2.1
200001,-12.8,1,-16.2,3.4
200101,-7.7,1,-16.2,8.5
200201,-14.6,1,-16.2,1.6
200301,-20.9,1,-16.2,-4.7
200401,-11.7,1,-16.2,4.5
200501,-8.9,1,-16.2,7.2
200601,-11.8,1,-16.2,4.4
200701,-13.8,1,-16.2,2.4
200801,-9.4,1,-16.2,6.7
200901,-12.9,1,-16.2,3.3
201001,-15.3,1,-16.2,0.8
201101,-14.3,1,-16.2,1.8
201201,-13.4,1,-16.2,2.7
201301,-11.0,1,-16.2,5.1
201401,-15.2,1,-16.2,1.0
201501,-14.8,1,-16.2,1.3
201601,-17.8,1,-16.2,-1.7
201701,-11.9,1,-16.2,4.2
201801,-11.6,1,-16.2,4.6
195902,,2,-16.2,
196002,-18.4,2,-16.2,-2.2
196102,-12.7,2,-16.2,3.5
196202,-12.7,2,-16.2,3.5
196302,-18.1,2,-16.2,-1.9
196402,-17.3,2,-16.2,-1.1
196502,-14.0,2,-16.2,2.2
196602,-24.4,2,-16.2,-8.2
196702,-10.8,2,-16.2,5.4
196802,-17.2,2,-16.2,-1.0
196902,-18.3,2,-16.2,-2.0
197002,-21.0,2,-16.2,-4.8
197102,-17.6,2,-16.2,-1.4
197202,-13.4,2,-16.2,2.8
197602,-12.3,2,-16.2,3.9
197702,-14.9,2,-16.2,1.3
197802,-16.6,2,-16.2,-0.3
197902,-15.0,2,-16.2,1.2
198002,-17.1,2,-16.2,-0.9
198102,-15.9,2,-16.2,0.3
198202,-10.3,2,-16.2,5.9
198302,-14.0,2,-16.2,2.2
198402,-7.9,2,-16.2,8.4
198502,-24.5,2,-16.2,-8.3
198602,-16.8,2,-16.2,-0.6
198702,-17.3,2,-16.2,-1.1
198802,-13.8,2,-16.2,2.4
198902,-10.0,2,-16.2,6.2
199002,-4.1,2,-16.2,12.2
199102,-16.3,2,-16.2,-0.1
199202,-8.3,2,-16.2,7.9
199302,-11.2,2,-16.2,5.0
199402,-13.9,2,-16.2,2.3
199502,-9.2,2,-16.2,7.0
199602,-14.8,2,-16.2,1.4
199702,-13.4,2,-16.2,2.9
